date,rank,album,artist
2025-11-08,156,ASTROWORLD,Travis Scott
2025-11-08,157,Evermore,Taylor Swift
2025-11-08,158,Texas Forever,Hudson Westbrook
2025-11-08,159,Religiously. The Album.,Bailey Zimmerman
2025-11-08,160,Over It,Summer Walker
2025-11-08,161,Leather,Cody Johnson
2025-11-08,162,Mi Vida Mi Muerte,Neton Vega
2025-11-08,163,Beautifully Broken,Jelly Roll
2025-11-08,164,GO:OD AM,Mac Miller
2025-11-08,165,Planet Her,Doja Cat
2025-11-08,166,Gettin' Old,Luke Combs
2025-11-08,167,Todavia Me Amas: Lo Mejor de Aventura,Aventura
2025-11-08,168,We Don't Trust You,Future & Metro Boomin
2025-11-08,169,Genesis,Peso Pluma
2025-11-08,170,Red (Taylor's Version),Taylor Swift
2025-11-08,171,California Sunrise,Jon Pardi
2025-11-08,172,SoulFly,Rod Wave
2025-11-08,173,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers
2025-11-08,174,Greatest Hits,Bob Seger & The Silver Bullet Band
2025-11-08,175,Confessions,Usher
2025-11-08,176,Restless Mind,Sam Barber
2025-11-08,177,Their Greatest Hits 1971-1975,Eagles
2025-11-08,178,AI YoungBoy 2,YoungBoy Never Broke Again
2025-11-08,179,Greatest Hits,Aerosmith
2025-11-08,180,Nostalgia,Rod Wave
2025-11-08,181,Metallica,Metallica
2025-11-08,182,Pure Heroine,Lorde
2025-11-08,183,The Black Parade,My Chemical Romance
2025-11-08,184,Vie,Doja Cat
2025-11-08,185,Cosa Nuestra,Rauw Alejandro
2025-11-08,186,Cigarettes After Sex,Cigarettes After Sex
2025-11-08,187,Happier Than Ever,Billie Eilish
2025-11-08,188,Tha Carter IV,Lil Wayne
2025-11-08,189,Don't Tap The Glass,"Tyler, the Creator"
2025-11-08,190,Higher,Chris Stapleton
2025-11-08,191,Parachutes,Coldplay
2025-11-08,192,Wicked: The Soundtrack,"Cynthia Erivo, Ariana Grande & Various Artists"
2025-11-08,193,DS2,Future
2025-11-08,194,I Will Always Love You: The Best Of Whitney Houston,Whitney Houston
2025-11-08,195,One - X,Three Days Grace
2025-11-08,196,This Is For,Twice
2025-11-08,197,20 Number Ones,Thomas Rhett
